Source_label,text,polarity,subjectivity,predicted_sentiment,Text,Predicted_Sentiment,Raw_Score
TextBlob,"CNNs have shown to achieve better results when modelling complex natural processes than other ML algorithms, when provided with big amounts of data and well-designed architectures that represent the physical process knowledge. Furthermore, they have the main advantages of computing efficiency and the ability to represent processes beyond numerical simulations. The latter is essential for understanding the complex interactions between variables, therefore resulting in not only improving rainfall estimates but also in increasing our understanding of processes in poorly measured regions.",-0.029861111,0.3792658730158729,,,,
TextBlob,"utilized as inputs to the extreme learning machine (ELM) and random forest (RF) models. The hybrid EEMD-ELM yielded better results in comparison to the CEEMDAN-ELM, EEMD-RF, CEEMDAN-RF and the classical ELM and RF models.",-0.03125,0.5,,,,
TextBlob,O 2 day-glow,0,0,,,,
TextBlob,"dition, or steady motion, when any influences, distributed zonally, prevent a rotation with uniform average, angular velocity of the whole envelope, or at least of those parts that are at equal distances from the axis of rotation. If, therefore, such influences exist on the sun, then wave formations must occur on it, and the sun spots, which have already been considered as vortex phenomena, as well as their variability, would thus find an explanation similar to that of the cyclones and anticyclones of the terrestrial atmosphere. I t thus becomes quite possible that the regular phenomena of the general atmospheric circulation of the earth may, for purely mechanical reasons, have the same period as those on the sun. In this case there would not need to exist any direct connection between the sun spots and our weather, even though the same period should be established beyond doubt by observation. On the other hand, a further development of the theory may, perhaps, lead to conclusions as to certain mechanical relations, especially as to the velocity of rotation of the sun. Even the discussion as to the influence of the moon on our weather, which is still by no means settled, will, in this way, be brought to an end, for it must then be possible to satisfactorily show whether the otherwise regular processes of atmospheric circulation are influenced by the changes in the moon's position, especially by its motion in declination. I t is to be hoped that the method here indicated may lead meteorology out of the region of vacillating ideas that now control it into a broader field, and place it among the exact sciences, where everything is reduced to numerical computation, and thus, to an important extent, further its application to daily practice.",0.036437075,0.4267955259026687,,,,
TextBlob,"Hendrik Poorter 1,2,*, Thijs L. Pons 3 and Tammo Reichgelt 4",0,0,,,,
TextBlob,"by land-based, balloon-tethered instruments, the oceanic areas",0,0,,,,
TextBlob,"These first results demonstrate that our retrieval suite provides reliable results. In-depth analyses of the results for the grid mentioned above are currently ongoing and will be presented at the conference. In addition, a comparison with literature results from simulations of reflected light observations will be discussed.",0.1625,0.3833333333333333,,,,
TextBlob,"To carry out this work, we use a combination of analogue fieldwork and laboratory-based simulation studies. Microorganisms isolated from a magnesium sulfate-rich analogue site (Basque Lake) and other terrestrial early Mars analogues, will be entombed within artificial sulfate crystals by evaporating an experimental brine under low atmospheric pressure and UV radiation similar to that encountered on the surface of Mars using The Open University’s Mars chamber facility. The lipids within the samples will be extracted and derivatized to make them amenable to by pyrolysis-gas chromatography-mass spectrometry (py-GC-MS); py-GC-MS is an important component of the Sample Analysis at Mars (SAM) instrument suite onboard NASA’s Mars Science Laboratory (MSL) and of the Mars Organic Molecular Organizer (MOMA) on the ESA’s Rosalind Franklin (ExoMars) rover. This work will aid in characterizing the impacts of the simulated Martian environment and Martian mineralogy on the preservation and detection of lipid biomarkers within sulfitic evaporite deposits and will inform the robotic missions targeting the search for ancient signatures of life on Mars.",-0.002083333,0.4312499999999999,,,,
TextBlob,Dust clouds / storms formation and evolution,0,0,,,,
TextBlob,"hampered because of the lack of data, particularly wind profiles.",0.1666666666666666,0.3333333333333333,,,,
,,,,,,,
,,,,,,,
LVC,"CNNs have shown to achieve better results when modelling complex natural processes than other ML algorithms, when provided with big amounts of data and well-designed architectures that represent the physical process knowledge. Furthermore, they have the main advantages of computing efficiency and the ability to represent processes beyond numerical simulations. The latter is essential for understanding the complex interactions between variables, therefore resulting in not only improving rainfall estimates but also in increasing our understanding of processes in poorly measured regions.",,,negative,,,
LVC,"utilized as inputs to the extreme learning machine (ELM) and random forest (RF) models. The hybrid EEMD-ELM yielded better results in comparison to the CEEMDAN-ELM, EEMD-RF, CEEMDAN-RF and the classical ELM and RF models.",,,positive,,,
LVC,O 2 day-glow,,,positive,,,
LVC,"dition, or steady motion, when any influences, distributed zonally, prevent a rotation with uniform average, angular velocity of the whole envelope, or at least of those parts that are at equal distances from the axis of rotation. If, therefore, such influences exist on the sun, then wave formations must occur on it, and the sun spots, which have already been considered as vortex phenomena, as well as their variability, would thus find an explanation similar to that of the cyclones and anticyclones of the terrestrial atmosphere. I t thus becomes quite possible that the regular phenomena of the general atmospheric circulation of the earth may, for purely mechanical reasons, have the same period as those on the sun. In this case there would not need to exist any direct connection between the sun spots and our weather, even though the same period should be established beyond doubt by observation. On the other hand, a further development of the theory may, perhaps, lead to conclusions as to certain mechanical relations, especially as to the velocity of rotation of the sun. Even the discussion as to the influence of the moon on our weather, which is still by no means settled, will, in this way, be brought to an end, for it must then be possible to satisfactorily show whether the otherwise regular processes of atmospheric circulation are influenced by the changes in the moon's position, especially by its motion in declination. I t is to be hoped that the method here indicated may lead meteorology out of the region of vacillating ideas that now control it into a broader field, and place it among the exact sciences, where everything is reduced to numerical computation, and thus, to an important extent, further its application to daily practice.",,,positive,,,
LVC,"Hendrik Poorter 1,2,*, Thijs L. Pons 3 and Tammo Reichgelt 4",,,negative,,,
LVC,"by land-based, balloon-tethered instruments, the oceanic areas",,,positive,,,
LVC,"These first results demonstrate that our retrieval suite provides reliable results. In-depth analyses of the results for the grid mentioned above are currently ongoing and will be presented at the conference. In addition, a comparison with literature results from simulations of reflected light observations will be discussed.",,,positive,,,
LVC,"To carry out this work, we use a combination of analogue fieldwork and laboratory-based simulation studies. Microorganisms isolated from a magnesium sulfate-rich analogue site (Basque Lake) and other terrestrial early Mars analogues, will be entombed within artificial sulfate crystals by evaporating an experimental brine under low atmospheric pressure and UV radiation similar to that encountered on the surface of Mars using The Open University’s Mars chamber facility. The lipids within the samples will be extracted and derivatized to make them amenable to by pyrolysis-gas chromatography-mass spectrometry (py-GC-MS); py-GC-MS is an important component of the Sample Analysis at Mars (SAM) instrument suite onboard NASA’s Mars Science Laboratory (MSL) and of the Mars Organic Molecular Organizer (MOMA) on the ESA’s Rosalind Franklin (ExoMars) rover. This work will aid in characterizing the impacts of the simulated Martian environment and Martian mineralogy on the preservation and detection of lipid biomarkers within sulfitic evaporite deposits and will inform the robotic missions targeting the search for ancient signatures of life on Mars.",,,negative,,,
LVC,Dust clouds / storms formation and evolution,,,negative,,,
LVC,"hampered because of the lack of data, particularly wind profiles.",,,negative,,,
,,,,,,,
,,,,,,,
Lab12,,,,,CNNs have shown to achieve better results when modelling complex natural processes than other ML algorithms when provided with big amounts of data and well designed architectures that represent the physical process knowledge Furthermore they have the main advantages of computing efficiency and the ability to represent processes beyond numerical simulations The latter is essential for understanding the complex interactions between variables therefore resulting in not only improving rainfall estimates but also in increasing our understanding of processes in poorly measured regions,positive,0.9881
Lab12,,,,,utilized as inputs to the extreme learning machine ELM and random forest RF models The hybrid EEMD ELM yielded better results in comparison to the CEEMDAN ELM EEMD RF CEEMDAN RF and the classical ELM and RF models,negative,0.0556
Lab12,,,,,O 2 day glow,positive,0.6083
Lab12,,,,,dition or steady motion when any influences distributed zonally prevent a rotation with uniform average angular velocity of the whole envelope or at least of those parts that are at equal distances from the axis of rotation If therefore such influences exist on the sun then wave formations must occur on it and the sun spots which have already been considered as vortex phenomena as well as their variability would thus find an explanation similar to that of the cyclones and anticyclones of the terrestrial atmosphere I t thus becomes quite possible that the regular phenomena of the general atmospheric circulation of the earth may for purely mechanical reasons have the same period as those on the sun In this case there would not need to exist any direct connection between the sun spots and our weather even though the same period should be established beyond doubt by observation On the other hand a further development of the theory may perhaps lead to conclusions as to certain mechanical relations especially as to the velocity of rotation of the sun Even the discussion as to the influence of the moon on our weather which is still by no means settled will in this way be brought to an end for it must then be possible to satisfactorily show whether the otherwise regular processes of atmospheric circulation are influenced by the changes in the moon s position especially by its motion in declination I t is to be hoped that the method here indicated may lead meteorology out of the region of vacillating ideas that now control it into a broader field and place it among the exact sciences where everything is reduced to numerical computation and thus to an important extent further its application to daily practice,positive,0.9972
Lab12,,,,,Hendrik Poorter 1 2 Thijs L Pons 3 and Tammo Reichgelt 4,positive,0.5244
Lab12,,,,,by land based balloon tethered instruments the oceanic areas,positive,0.7998
Lab12,,,,,These first results demonstrate that our retrieval suite provides reliable results In depth analyses of the results for the grid mentioned above are currently ongoing and will be presented at the conference In addition a comparison with literature results from simulations of reflected light observations will be discussed,negative,0.4558
Lab12,,,,,To carry out this work we use a combination of analogue fieldwork and laboratory based simulation studies Microorganisms isolated from a magnesium sulfate rich analogue site Basque Lake and other terrestrial early Mars analogues will be entombed within artificial sulfate crystals by evaporating an experimental brine under low atmospheric pressure and UV radiation similar to that encountered on the surface of Mars using The Open University s Mars chamber facility The lipids within the samples will be extracted and derivatized to make them amenable to by pyrolysis gas chromatography mass spectrometry py GC MS py GC MS is an important component of the Sample Analysis at Mars SAM instrument suite onboard NASA s Mars Science Laboratory MSL and of the Mars Organic Molecular Organizer MOMA on the ESA s Rosalind Franklin ExoMars rover This work will aid in characterizing the impacts of the simulated Martian environment and Martian mineralogy on the preservation and detection of lipid biomarkers within sulfitic evaporite deposits and will inform the robotic missions targeting the search for ancient signatures of life on Mars,negative,0.0266
Lab12,,,,,Dust clouds storms formation and evolution,positive,0.9224
Lab12,,,,,hampered because of the lack of data particularly wind profiles,negative,0.33
