text,predicted_sentiment
"GEOMAGNETIC FORECASTS: Forecasts of the likelihood (from 1% to 99%) that the daily geomagnetic activity level will reach a particular activity category. The four categories are Quiet to Unsettled, Active, Minor Storm, and Major to Severe Storm. The geomagnetic category assigned to a day is determined by the highest observed k-index for the day. Quiet to Unsettled = k 0 to k 3, Active = k 4, Minor Storm = k 5, and Major to Severe Storm = k 6 to k 9. Middle-latitude forecasts are verified against Fredericksburg, VA observations and High-latitude forecasts are verified against College, AK observations. Forecast lead times range from one to three days.",positive
TROPICAL CYCLONES: The generic term for a non-frontal synoptic scale low-pressure system over tropical or sub-tropical waters with organized convection (i.e. thunderstorm activity) and definite cyclonic surface wind circulation.,positive
SEVERE TROPICAL CYCLONES: A severe tropical cyclone in the North Indian Ocean.,negative
"STURGEONS/PADDLEFISHES: Phylum Chordata. Class Actinopterygii. Order Acipenseriformes, which includes sturgeons and paddlefish, are ray-finned fish with a cartilaginous endoskeleton and no vertebral centrum",negative
SOIL TEMPERATURE: The degree of hotness or coldness of the soil as measured on some definite temperature scale.,negative
"FROZEN GROUND: Soil within which the moisture has predominantly changed to ice, the unfrozen",negative
portion being in vapor phase.,negative
Ice within the soil bonds (adfreezes) adjacent soil particles and renders,negative
frozen ground very hard. Permanently frozen ground is called permafrost. Dry,negative
frozen ground is relatively loose and crumbly because of the lack of bonding,negative
ice. Frozen ground is sometimes inadvisedly called frost or ground frost.,positive
SNOW DEPTH: Pertaining to the thickness of snow pack throughout the year.,negative
ULTRAVIOLET FLUX: The amount of ultraviolet radiation transferred across a given unit of surface,positive
area in a given unit of time.,negative
"SEDIMENT COMPOSITION: The composition of sediment including parent rock lithology, mineral composition, and chemical make-up.",negative
"SOIL COLOR: The property of a soil that is based upon three components of hue, chroma (intensity or brightness), and value (lightness or darkness).",negative
"SEA CLIFFS: A significant vertical, or near vertical, rock exposure. Cliffs are formed as erosion landforms due to the processes of erosion and weathering that produce them. Cliffs are common on coasts, in mountainous areas, escarpments and along rivers.",positive
