text,polarity,subjectivity
"GEOMAGNETIC FORECASTS: Forecasts of the likelihood (from 1% to 99%) that the daily geomagnetic activity level will reach a particular activity category. The four categories are Quiet to Unsettled, Active, Minor Storm, and Major to Severe Storm. The geomagnetic category assigned to a day is determined by the highest observed k-index for the day. Quiet to Unsettled = k 0 to k 3, Active = k 4, Minor Storm = k 5, and Major to Severe Storm = k 6 to k 9. Middle-latitude forecasts are verified against Fredericksburg, VA observations and High-latitude forecasts are verified against College, AK observations. Forecast lead times range from one to three days.",-0.0075000000000000015,0.36
TROPICAL CYCLONES: The generic term for a non-frontal synoptic scale low-pressure system over tropical or sub-tropical waters with organized convection (i.e. thunderstorm activity) and definite cyclonic surface wind circulation.,0.0,0.25
SEVERE TROPICAL CYCLONES: A severe tropical cyclone in the North Indian Ocean.,0.0,0.0
"STURGEONS/PADDLEFISHES: Phylum Chordata. Class Actinopterygii. Order Acipenseriformes, which includes sturgeons and paddlefish, are ray-finned fish with a cartilaginous endoskeleton and no vertebral centrum",0.0,0.0
SOIL TEMPERATURE: The degree of hotness or coldness of the soil as measured on some definite temperature scale.,0.0,0.5
"FROZEN GROUND: Soil within which the moisture has predominantly changed to ice, the unfrozen",0.0,0.0
portion being in vapor phase.,0.0,0.0
Ice within the soil bonds (adfreezes) adjacent soil particles and renders,0.0,0.0
frozen ground very hard. Permanently frozen ground is called permafrost. Dry,-0.22291666666666668,0.6520833333333333
frozen ground is relatively loose and crumbly because of the lack of bonding,-0.07692307692307693,0.2692307692307692
ice. Frozen ground is sometimes inadvisedly called frost or ground frost.,0.0,0.0
SNOW DEPTH: Pertaining to the thickness of snow pack throughout the year.,0.0,0.0
ULTRAVIOLET FLUX: The amount of ultraviolet radiation transferred across a given unit of surface,0.0,0.0
area in a given unit of time.,0.0,0.0
"SEDIMENT COMPOSITION: The composition of sediment including parent rock lithology, mineral composition, and chemical make-up.",0.0,0.0
"SOIL COLOR: The property of a soil that is based upon three components of hue, chroma (intensity or brightness), and value (lightness or darkness).",0.0,0.0
"SEA CLIFFS: A significant vertical, or near vertical, rock exposure. Cliffs are formed as erosion landforms due to the processes of erosion and weathering that produce them. Cliffs are common on coasts, in mountainous areas, escarpments and along rivers.",0.012499999999999997,0.5375
WATER VAPOR INDICATORS: Methods of expressing water vapor.,0.0,0.0
"ATMOSPHERIC WATER VAPOR: (Also called aqueous vapor, moisture.) Water substance in vapor form; one of the most important of all constituents of the atmosphere.Air in motion relative to the surface of the earth.",0.030000000000000006,0.5
"SULFUR DIOXIDE SURFACE: Acidic gas, formula SO2, formed in the combustion of many fuels and in the oxidation of naturally occurring sulfur gases measured at the earth's surface. It is the primary sulfur gas emitted from combustion sources and is a precursor to sulfuric acid, which is a major constituent of acid rain.",0.265625,0.475
ELECTRICAL PROPERTIES: An important baseline measurement in ice cores is electrical conductivity.,0.4,1.0
"Electrical conductivity measurements (ECM) of the core is a very rapid methodto indicate how acidic the core is without the chemical detail of the ionanalyses. The value of the measurement is that it can be done for the wholelength of the core in high resolution and provide an immediate picture of thecore and allow quick detection of interesting areas, such as a volcaniceruptions. Because it is a high resolution, continuous measurement it can beused, along with the other measurements, for time frequency analysis in orderto identify cycles in the climate signal.",0.17547619047619048,0.46499999999999997
"REFLECTANCE: A general term referring to the radiation reflected from, or scattered back through, a given surface in response to radiation incident on the surface with the same wavelength or wavelength range.",0.016666666666666673,0.20833333333333334
PRESSURE ANOMALIES: The deviation of atmospheric pressure in a given region over a specifiedperiod from the long-term average value for the same region.,-0.049999999999999996,0.17499999999999996
MUTUALISM: Mutualism is an interaction between two species in which both benefit fromthe association and cannot live separately.,0.13636363636363635,0.5
"SPECIES/POPULATION INTERACTIONS: Describes the dynamics of species or populations, and how these populationsinteract with the environment by fitting evolutionary strategies.",0.5,0.5
ULTRAVIOLET WAVELENGTHS: Situated beyond the visible spectrum at its violet end —used of radiation having a wavelength shorter than wavelengths of visible light and longer than those of X-rays,0.4,0.7
"SUB-ATOMIC PARTICLE FLUX: These particles include atomic constituents such as electrons, protons, and",0.0,0.5
"neutrons (protons and neutrons are actually composite particles, made up of",0.0,0.1
"quarks), as well as other particles such as photons and neutrinos which are",-0.0625,0.4375
"produced copiously in the sun. However, most of the particles that have been",0.5,0.5
discovered and studied are not encountered under normal earth conditions; they,0.15,0.6499999999999999
are produced in cosmic rays and during scattering processes in particle,0.0,0.0
accelerators.,0.0,0.0
"EAST CENTRAL TROPICAL PACIFIC SST: The NINO3.4 index is one of several El Niño/Southern Oscillation (ENSO) indicators based on sea surface temperatures.NINO3.4 is the average sea surface temperature anomaly in the region bounded by 5°N to 5°S, from 170°W to 120°W. This region has large variability on El Niño time scales, and is close to the region where changes in local sea-surface temperature are important for shifting the large region of rainfall typically located in the far western Pacific.An El Niño or La Niña event is identified if the 5-month running-average of the NINO3.4 index exceeds +0.4°C for El Niño or -0.4°C for La Niña for at least 6 consecutive months.",0.02835497835497836,0.4006493506493506
"PARTICLE SIZE DISTRIBUTION: The frequency distribution of drop sizes (diameters, volumes) that is characteristic of a given cloud or of a given fall of rain.Most natural clouds have unimodal (single maximum) distributions, but occasionally bimodal distributions are observed. In convective clouds, the drop-size distribution is found to change with time and to vary systematically with height, the modal size increasing and the number decreasing with height. For many purposes a useful single parameter representing a given distribution is the volume median diameter, that is, that diameter for which the total volume of all drops having greater diameters is just equal to the total volume of all drops having smaller diameters. The drop- size distribution is one of the primary factors involved in determining the radar reflectivity of any fall of precipitation, or of a cloud mass.",0.12234432234432235,0.3977106227106227
CONVECTIVE AVAILABLE POTENTIAL ENERGY (CAPE): Convective Available Potential Energy = in units of Joules per kilogram (J/kg) is a measure of the cumulative buoyancy of a parcel as it rises.,0.2,0.7
"ALTOCUMULUS: A principal cloud type, forming in the middle levels of the troposphere, and appearing as a white and/or grey layer or patch with a waved aspect. In aviation forecasts and reports it is coded as AC.",-0.016666666666666666,0.03333333333333333
"OPTICAL DEPTH: The degree to which the ocean absorbs light, assuming verticalseparation between light source and light receiver.",0.4000000000000001,0.6999999999999998
"FOODBORNE DISEASES: Illness or disease caused by consumption of foods or drinkscontaminated with biological or chemical toxins or pathogens, includingdisease-causing microbes or toxic chemicals.",0.0,0.0
ANGLE OF INCLINATION: Refers to the angle between the equatorial plane of the earth and the orbital plane of the satellite,0.0,0.0
"OUTGOING LONGWAVE RADIATION: The outgoing longwave radiation (OLR) refers specifically to theradiation emitted by the Earth and its atmosphere (the terrestrialradiation). Satellite measurements of the OLR from terrestrial surfacesand clouds show that OLR is low over cold land and high clouds and highover hot land surfaces. Climate variations, such as El Nino SouthernOscillation (ENSO) can be measured from OLR anomalies from longer-termvariations.",-0.031666666666666655,0.5483333333333333
CONVECTIVE PRECIPITATION: The instantaneous convective precipitation rate at the surface,0.0,0.0
"ACOUSTIC ATTENUATION/TRANSMISSION: Attenuation: Diminution of the intensity of acoustical energy propagatingthrough a medium with the distance traveled, through absorption andscattering. Transmission: Propagation or the motion of waves through oralong a medium.",0.0,0.0
POINT BAR: A depositional feature of streams. Point bars are found in abundance in mature or meandering streams.,0.1,0.1
"SEISMIC SURFACE WAVES: Pertaining to the measurement of shock-waves on the surface of the Earth, either generated through an earthquake, or a man-made source.",0.0,0.0
TROPICAL CYCLONES: The general term for a cyclone that originates over the tropical oceans.,0.05000000000000002,0.5
CYCLONES (SW INDIAN): null,0.0,0.0
SEISMIC PROFILE: Pertaining to the data collected on a seismic survey in order to examine the subsurface structure of the Earth.,0.0,0.0
"CLOUD MICROPHYSICS: Cloud processes (growth, evaporation, etc.) taking place on the scale of the individual aerosol or precipitation particle as opposed to the scale of the visual cloud.",0.0,0.2
"DENSITY: The mass per unit volume of a substance.  Oceanographic shorthand fordensity, sigma-t, may be included as a Detailed Variable.",0.4,0.75
"STREAM: A long narrow channel of water that flows as a function of gravity and elevation across the Earth's surface. Many streams empty into lakes, seas or oceans.",0.0375,0.45
FIRN AIR CONTENT: Firn Air Content is a parameter within that data set and is defined as the volume of air trapped within the firn layer. This parameter is subtracted from the ice surface elevation to obtain ice thickness in actual ice equivalent.,-0.1,0.05
"FIRN: Rounded, well-bonded snow that is older han one year (from NSIDC glossary). Apermeable aggregate of small ice grains with densities greater than 0.55 up to0.82 where begins glacial ice.",0.13888888888888887,0.41111111111111115
Stability/Severe Weather Indices: null,0.0,0.0
