Text,Predicted_Sentiment,Raw_Score
Deep understanding of planetary habitability requires identifying key factors that govern the surface environment over time Venus is the ultimate control case for understanding how Earth developed and maintained conditions suited to life Venus very likely had elements essential to habitability such as past surface water and a dynamo Tectonism and volcanism which create chemical disequilibrium very likely persist today What caused Earth and Venus to diverge down different evolutionary paths VERITAS would create foundational co registered data sets of high resolution topography imaging spectroscopy and gravity on par with those available for Mercury Mars and the Moon VERITAS would answer outstanding fundamental questions about the evolution of Earth s twin The VERITAS payload consists of the Venus Interferometric Synthetic Aperture Radar VISAR and the Venus Emissivity Mapper VEM plus a gravity science investigation VISAR is an X band radar that provides 1 a global digital elevation model DEM with 250 m postings and 6 m height accuracy 2 Synthetic aperture radar SAR imaging at 30 m horizontal resolution globally 3 SAR imaging at 15 m resolution for boldsymbol 25 of the surface and 4 surface deformation from repeat pass interferometry RPI with 2 cm vertical precision for boldsymbol 12 boldsymbol sim 200 mathrm x 200 text km targeted areas VEM covers boldsymbol 70 of the surface in six near infrared NIR bands sensitive to iron composition located within five atmospheric windows plus eight atmospheric bands for calibration and water vapor measurements VEM would provide near global maps of mafic to felsic rock type and will search for active and recent volcanism VERITAS would use two way Ka band uplink and downlink from a low circular orbit boldsymbol 0 01 counts s 1 Rayleigh 1 pixel 1 140 180 nm for both cameras which is sufficient for mapping the boundaries and the fine structures of the auroral oval during storms substorms Based on the tests and calibrations that were conducted prior to launch the data processing algorithm includes photon signal decoding geometric distortion correction photometric correction flat field correction line of sight projection and correction and normalization between the two cameras Preliminarily processed images are compared with DMSP SSUSI images The agreement between the images that were captured by two instruments demonstrates that the WAI and the data processing algorithm operate normally and can provide high quality scientific data for future studies on auroral dynamics A compact camera system on board China s recently launched Fengyun 3D satellite can reveal subtle features of the Earth s auroras for improved space weather forecasting Auroras such as the northern lights arise when solar wind charged particles precipitate along the Earth s magnetic field and collide with atmospheric gases Xiao Xin Zhang Bo Chen and their colleagues have developed a high resolution imager that can help researchers predict geomagnetic substorms and storms from the dynamic configurations of auroras The imager uses two cameras to simultaneously scan auroral regions from a low Earth orbit delivering an expanded field of view relative to previous instruments In orbit testing shows that the device s mirror based optics and data processing system can identify boundaries and structures of auroras with 10 kilometer scale resolution,positive,0.9989
Xianan Jiang Daehyun Kim and Eric D Maloney Joint Institute for Regional Earth System Science Engineering University of California Los Angeles CA 900035 USA Department of Atmospheric Sciences University of Washington Seattle WA 98195 USA Department of Atmospheric Science Colorado State University Fort Collins CO 80521 USA xianan ucla edu daehyun uw edu emaloney atmos colostate edu,positive,0.9962
Climate change is reality Global warming caused by the increase in concentration of GHGs in the atmosphere has emerged as the most prominent environmental issue all over the world These GHGs viz Carbon Dioxide CO2 Methane CH4 and surface and thus raise the atmospheric temperature The Inter Governmental Panel on Climatic Change IPCC in its Fifth Assessment Report has reiterated that warming of the climatic system is International Journal of Current Microbiology and Applied Sciences ISSN 2319 7706 Volume 7 Number 02 2018 Journal homepage http www ijcmas com India has been able to produce enough to feed its 1 25 billion As well as export food grains to other countries But the challenge to feed a Projected population of1 6 billion in 2050 and provide them with nutrition Security is a formidable one because of the continuously degrading natural resource base and shrinking of good agriculture land for cultivation It has been estimated that to meet the demands of that vast population land productivity has to be enhanced four times along with three fold increase is water productivity and concomitant increase of six times in labour productivity The era of Anthropocene has been endorsed by both climatic and non climatic factors It may increase the risk of food and water security across the globe Among all carbon C sequestration is one of the important strategies that could mitigate the effect of climate change to some extent by transferring atmospheric CO2 C into the longlive natural pools such as soils and perennial green biomass Soil organic carbon SOC has relation in plant growth and agronomic productivity Most of the soils of India have been depleted their SOC stocks Further changes in climate are exacerbating the risk of soil erosion and alter nutrient cycling and thereby impacting optimization of crop production Therefore conservation of sol organic matter SOM is essential to prevent soils from further degradation and for overall soil health maintenance This article focuses climate change impact on agriculture C Sequestration and their role on vice VERSA The strategies for C sink efficient use of crop residue conservation agriculture integrated nutrient management agroforestry cover crop use of organic and other bio solids etc along with soil C which will have marked influence on sustainable crop production and impart climate resilience K e y w o r d s Climate change Carbon sequestration Smart agriculture Climate resilient Agriculture Accepted 17 January 2018 Available Online 10 February 2018 Article Info Int J Curr Microbiol App Sci 2018 7 2 1668 1673 1669 unequivocal The anthropogenic influence on the climatic system is evident from the increasing concentrations of GHGs in the atmosphere and the positive radiative forcing As a result the temperature atmosphere and ocean is going up snow and ice are melting fast and sea level is of rising This global climate change will have considerable impact on the crop soil livestock and fishery Agriculture engages almost two third of the workforce in gainful employment and accounts for a significant share in India s gross domestic product Several industries depend on agricultural production for their requirement of raw materials Due to its close linkages with other economic sectors agricultural growth has a multiplier effect on the entire economy of the country The agricultural sector is believed to contribute to the greenhouse effect and the ensuring climate change is likely to have adverse impact on this sector Various agricultural activities such as land clearing cultivation of crops irrigation animal husbandry fisheries and aquaculture have a significant impact on the emission of GHGs and consequently on climate change IPCC 2014 An in depth understanding of trends in emission of GHGs their driver and the relation between the two is essential for comprehending the need for mitigation and adaptation The objectives of this paper are to evaluate the emission of GHGs from Indian agriculture analyze the drivers and trends of GHG emission and assess the potential of various mitigation options Agriculture as a source and sink of GHG Agriculture contributes to greenhouse effect primarily through the emission and consumption of GHGs such as CH4 N2O and CO2 CH4 is produced in soil during microbial decomposition of organic matter under anaerobic conditions Rice fields submerged underwater are the potential sources of CH4 production Continuous submerged higher organic C content and use of organic manure in Puddled soil enhance CH4 emission Burning of crop residues also contributes to the global methane budget The enteric fermentation in ruminants is another major source of CH4 emission Nitrous oxide is produced in soils through the processes of nitrification and denitrification Nitrification is the aerobic microbial oxidation of ammonium to nitrate and denitrification is the anaerobic microbial of nitrate to nitrogen gas N2 Nitrous oxide is a gaseous intermediate in the reaction sequence of denitrification and a byproduct of nitrification that leaks from microbial cells into the soil and ultimately into the atmosphere One of the main controlling factors in this reaction is the availability of inorganic N in soil through additions of synthetic or organic fertilizers manure crop residues sewage sludge or mineralization of N in soil organic matter following drainage management of organic soil and cultivation lands use change on mineral soils The main source of carbon dioxide in agriculture is tillage which triggers emission of this gas though biological decomposition of soil organic matter Tillage breaks the soil aggregates increases the oxygen supply and exposes the surface area of organic material promoting the decomposition of organic matter Use of fuel for various agricultural operations and burning of crop residues are the other sources of carbon dioxide emission An off site source is the manufacturing of farm implements fertilizers and pesticides Climate change is becoming a serious global environmental concern The signatures of climate change have been seen in every sphere of life on the earth which ignited the issues towards set back free and eco friendly environment The climate has been changing Int J Curr Microbiol App Sci 2018 7 2 1668 1673 1670 naturally as volcanoes tectonic plate movements since the beginning of time Recently it is in the news due to anthropogenic emissions and man made disturbances Concentrations of GHGs in the atmosphere exceeded the pre industrial levels by about 40 150 and 20 in 2011 CO2 CH4 N2O Respectively The current total global anthropogenic emission is estimated at 400 ppm WMO 2013 It was expected that increase in atmospheric CO2 has a fertilization effect on crops through carbon C assimilation pathway and thus may encourage crop growth and productivity Srinivasa Rao et al 2016 On the other hand increase in temperature could reduce crop growth and periods alter photosynthetic processes and affect pest populations nutrient loss in soils The transfer of C in the green biomass and its sink into the soils is one of the most important strategies to address the problem of land degradation and climate change mitigation Secondly CO2 concentration in the atmosphere can be minimised by reducing the global energy use or through the substitution of fossil fuels by biomass and sequesteringCO2 in soils and biomass Schrag 2007 SOC refers to containing C in SOM hence conservation and agricultural soils have list 30 to 75 of their antecedent SOC pool Lal et al 2007 Agricultural forest and other landuse change AFOLU contributes less than 25 10 12 Gt CO2 eq year of anthropogenic GHG emission Long term experiments are important for assessing long term changes in SIC and crop yields and estimating C sequestration potential of agricultural lands Srinivasa Rao et al 2013 Carbon sequestration a route to,positive,0.8921
Remote sensing has long been used as a powerful tool for the observation in cryospheric sciences With the advances brought by the ESA Copernicus program Earth observation goes a step further in its ability to get acquisitions at very high temporal rate This is even amplified in polar regions due to heliosynchronism of satellites orbits Earth observation shifts from sporadic observations to Earth monitoring,positive,0.9938
Observations are a critical aspect for the assessment of geophysical models The ability of a model to replicate observations is crucial as a benchmark It also allows to refine our comprehension of Earth systems such as in cryospheric sciences,positive,0.987
In this work we are using the regional climate model MAR to compute the surface melt on a domain focusing on the Roi Baudouin Ice Shelf Queen Maud Land East Antarctica From the results we extract the number of days with surface melt in a region In parallel we employ remote sensing to obtain comparison data Synthetic aperture radar appears as a solution of choice thanks to its day and night critical in polar regions and atmospheric free capabilities Radar backscattering anomalies between different dates are witnesses of substantial increase of soil moisture Using Sentinel 1 in its wide swath modes namely Interferometric Wide Swath and Extra Wide Swath modes and multiple satellite paths near daily acquisitions can be obtained By comparing the two independent results we better constraint model s outputs while also better interpret SAR acquisitions,negative,0.0881
Atmospheric aerosol and chemistry modules are key elements in Earth system models ESMs as they predict air pollutants concentrations and properties that can impact human health weather and climate The current uncertainty in climate projections is partly due to the inaccurate representation of aerosol direct and indirect forcing Aerosol chemistry parameterizations used within ESMs and other atmospheric models span large structural and parameter uncertainties which are difficult to assess independently of their host models Moreover there is a strong need for a standardized interface between aerosol chemistry modules and the host model to facilitate portability of aerosol chemistry parameterizations from one model to another allowing not only a comparison between different parameterizations within the same modeling framework but also quantifying the impact of different model frameworks on aerosol chemistry predictions To address this need we have initiated a new community effort to coordinate the construction of a GeneralIzed Aerosol chemistry iNTerface GIANT for use across weather and climate models We aim to organize a series of community workshops and Hack a thons to design and build GIANT which will serve as the interface between a range of aerosol chemistry modules and the physics and dynamics components of atmospheric host models GIANT will leverage ongoing efforts at the U S modeling centers focused on building next generation ESMs and the international AeroCom initiative to implement this common aerosol chemistry interface GIANT will create transformative opportunities for scientists and students to conduct innovative research to better characterize structural and parametric uncertainties in aerosol chemistry modules and to develop a common set of aerosol chemistry parameterizations,negative,0.0064
The present work addresses two persistent quandaries of the climate sciences i the existence of global oscillatory modes in the coupled ocean atmosphere system and ii solar effects on this coupled system Interannual oscillatory modes atmospheric and oceanic are present in several large regions of the globe We examine here interannual to decadal variability over the entire globe in the Community Earth System Model CESM and in the NCEP NCAR reanalysis and apply multichannel singular spectrum analysis MSSA to these two datasets,positive,0.9973
In the fully coupled CESM1 1 model with its resolution of 0 1 0 1 degrees in the ocean and 0 25 0 25 degrees in the atmosphere the ﬁelds analyzed are surface temperatures sea level pressures and the 200 hPa geopotential The simulation is 100 yr long and the last 66 yr are used in the analysis The two statistically signiﬁcant periodicities in this IPCC class model are 11 and 3 4 yr,negative,0.0998
In the reanalysis the ﬁelds of sea level pressure and of 200 hPa geopotential are analyzed at its resolution of 2 5 2 5 degrees over the 68 yr interval 1949 2016 Oscillations with periods of 12 and 3 6 yr are found to be statistically signiﬁcant in this dataset The spatio temporal patterns of the oscillations in the two datasets are quite similar The spatial pattern of these global oscillations over the North Paciﬁc and North Atlantic resemble the Paciﬁc Decadal Oscillation and the interannual variability found in the western North Atlantic respectively,positive,0.9016
